# CFX3 (CFX335, FC:E8:C0:A9:0B:FA) first sessions, 2026-09-20 12:17-12:39, laptop on top of the cooler.
# Bonded via bluetoothctl while the cooler was in its Bluetooth pairing menu. Link opened with
# `bluetoothctl connect`, console attached (bleak reused the link), handshake PING-first.
# TX = console → cooler, RX = cooler → console. Hex exactly as on GATT; text = pyddm decoding.
# WiFi SSID payload redacted (topic 00 00 07 01).

12:36:26,153  TX  01 00 C1 00 80                                   SUBSCRIBE 00 C1 00 80  deviceSpecific.ccFirmwareVersion
12:36:26,290  RX  04                                               ACK
12:36:26,341  TX  01 00 00 01 01                                   SUBSCRIBE 00 00 01 01  compartment.c0Power
12:36:26,402  RX  04                                               ACK
12:36:26,453  TX  01 00 01 01 01                                   SUBSCRIBE 00 01 01 01  compartment.c0MeasuredTemperature
12:36:26,590  RX  04                                               ACK
12:36:26,641  TX  01 00 02 01 01                                   SUBSCRIBE 00 02 01 01  compartment.c0SetTemperature
12:36:26,778  RX  04                                               ACK
12:36:26,791  TX  01 00 08 01 01                                   SUBSCRIBE 00 08 01 01  compartment.c0DoorOpen
12:36:26,852  RX  04                                               ACK
12:36:26,903  TX  01 00 80 01 01                                   SUBSCRIBE 00 80 01 01  compartment.c0TemperatureRange
12:36:27,115  RX  04                                               ACK
12:36:27,166  TX  01 00 00 03 01                                   SUBSCRIBE 00 00 03 01  power.coolerPower
12:36:27,228  RX  04                                               ACK
12:36:27,279  TX  01 00 01 03 01                                   SUBSCRIBE 00 01 03 01  power.batteryVoltageLevel
12:36:27,340  RX  04                                               ACK
12:36:27,378  RX  02                                               PING
12:36:27,391  TX  01 00 02 03 01                                   SUBSCRIBE 00 02 03 01  power.batteryProtectionLevel
12:36:27,490  RX  04                                               ACK
12:36:27,541  TX  01 00 03 03 01                                   SUBSCRIBE 00 03 03 01  power.compressorPower
12:36:27,690  TX  01 00 05 03 01                                   SUBSCRIBE 00 05 03 01  power.powerSource
12:36:27,715  RX  04                                               ACK
12:36:27,828  RX  04                                               ACK
12:36:29,205  --  Subscribing to 14 parameter(s)
12:36:29,205  TX  01 00 C0 00 00                                   SUBSCRIBE 00 C0 00 00  productInformation.productModelNumber
12:36:29,290  RX  04                                               ACK
12:36:29,341  TX  01 00 C1 00 00                                   SUBSCRIBE 00 C1 00 00  productInformation.productSerialNumber
12:36:29,365  RX  02                                               PING
12:36:29,440  RX  04                                               ACK
12:36:29,491  TX  01 00 C4 00 00                                   SUBSCRIBE 00 C4 00 00  productInformation.productType
12:36:29,526  --  Subscribing to 14 parameter(s)
12:36:29,665  RX  04                                               ACK
12:36:29,665  TX  01 00 C0 00 00                                   SUBSCRIBE 00 C0 00 00  productInformation.productModelNumber
12:36:29,740  RX  04                                               ACK
12:36:29,741  TX  01 00 C1 00 80                                   SUBSCRIBE 00 C1 00 80  deviceSpecific.ccFirmwareVersion
12:36:29,853  RX  04                                               ACK
12:36:29,854  TX  01 00 C1 00 00                                   SUBSCRIBE 00 C1 00 00  productInformation.productSerialNumber
12:36:29,928  RX  04                                               ACK
12:36:29,929  TX  01 00 00 01 01                                   SUBSCRIBE 00 00 01 01  compartment.c0Power
12:36:30,078  RX  04                                               ACK
12:36:30,079  TX  01 00 C4 00 00                                   SUBSCRIBE 00 C4 00 00  productInformation.productType
12:36:30,190  RX  04                                               ACK
12:36:30,190  TX  01 00 01 01 01                                   SUBSCRIBE 00 01 01 01  compartment.c0MeasuredTemperature
12:36:30,303  RX  04                                               ACK
12:36:30,304  TX  01 00 C1 00 80                                   SUBSCRIBE 00 C1 00 80  deviceSpecific.ccFirmwareVersion
12:36:30,490  RX  04                                               ACK
12:36:30,491  TX  01 00 02 01 01                                   SUBSCRIBE 00 02 01 01  compartment.c0SetTemperature
12:36:30,565  RX  04                                               ACK
12:36:30,566  TX  01 00 00 01 01                                   SUBSCRIBE 00 00 01 01  compartment.c0Power
12:36:30,640  RX  04                                               ACK
12:36:30,641  TX  01 00 08 01 01                                   SUBSCRIBE 00 08 01 01  compartment.c0DoorOpen
12:36:30,753  RX  04                                               ACK
12:36:30,754  TX  01 00 01 01 01                                   SUBSCRIBE 00 01 01 01  compartment.c0MeasuredTemperature
12:36:30,828  RX  04                                               ACK
12:36:30,828  TX  01 00 80 01 01                                   SUBSCRIBE 00 80 01 01  compartment.c0TemperatureRange
12:36:30,903  RX  04                                               ACK
12:36:30,904  TX  01 00 02 01 01                                   SUBSCRIBE 00 02 01 01  compartment.c0SetTemperature
12:36:31,015  RX  04                                               ACK
12:36:31,016  TX  01 00 00 03 01                                   SUBSCRIBE 00 00 03 01  power.coolerPower
12:36:31,090  RX  04                                               ACK
12:36:31,091  TX  01 00 08 01 01                                   SUBSCRIBE 00 08 01 01  compartment.c0DoorOpen
12:36:31,203  RX  04                                               ACK
12:36:31,204  TX  01 00 01 03 01                                   SUBSCRIBE 00 01 03 01  power.batteryVoltageLevel
12:36:31,278  RX  04                                               ACK
12:36:31,279  TX  01 00 80 01 01                                   SUBSCRIBE 00 80 01 01  compartment.c0TemperatureRange
12:36:31,353  RX  04                                               ACK
12:36:31,354  RX  02                                               PING
12:36:31,354  TX  01 00 02 03 01                                   SUBSCRIBE 00 02 03 01  power.batteryProtectionLevel
12:36:31,428  RX  04                                               ACK
12:36:31,428  TX  01 00 00 03 01                                   SUBSCRIBE 00 00 03 01  power.coolerPower
12:36:31,503  RX  04                                               ACK
12:36:31,504  TX  01 00 03 03 01                                   SUBSCRIBE 00 03 03 01  power.compressorPower
12:36:31,578  RX  04                                               ACK
12:36:31,578  TX  01 00 01 03 01                                   SUBSCRIBE 00 01 03 01  power.batteryVoltageLevel
12:36:31,653  RX  04                                               ACK
12:36:31,654  TX  01 00 05 03 01                                   SUBSCRIBE 00 05 03 01  power.powerSource
12:36:31,728  RX  04                                               ACK
12:36:31,729  TX  01 00 02 03 01                                   SUBSCRIBE 00 02 03 01  power.batteryProtectionLevel
12:36:31,803  RX  04                                               ACK
12:36:31,854  TX  01 00 03 03 01                                   SUBSCRIBE 00 03 03 01  power.compressorPower
12:36:31,917  RX  04                                               ACK
12:36:31,968  TX  01 00 05 03 01                                   SUBSCRIBE 00 05 03 01  power.powerSource
12:36:32,029  RX  04                                               ACK
12:36:33,415  RX  02                                               PING
12:36:35,403  RX  02                                               PING
12:36:37,353  RX  02                                               PING
12:36:39,378  RX  02                                               PING
12:36:41,403  RX  02                                               PING
12:36:43,391  RX  02                                               PING
12:36:45,416  RX  02                                               PING
12:36:47,366  RX  02                                               PING
12:36:49,428  RX  02                                               PING
12:36:51,378  RX  02                                               PING
12:36:53,403  RX  02                                               PING
12:36:55,353  RX  02                                               PING
12:36:57,416  RX  02                                               PING
12:36:59,366  RX  02                                               PING
12:37:01,391  RX  02                                               PING
12:37:03,379  RX  02                                               PING
12:37:05,404  RX  02                                               PING
12:37:07,354  RX  02                                               PING
12:37:09,379  RX  02                                               PING
12:37:11,442  RX  02                                               PING
12:37:13,392  RX  02                                               PING
12:37:15,379  RX  02                                               PING
12:37:17,368  RX  02                                               PING
12:37:19,392  RX  02                                               PING
12:38:04,269  --  Connecting to FC:E8:C0:A9:0B:FA via BlueZ object /org/bluez/hci0/dev_FC_E8_C0_A9_0B_FA …
12:38:04,277  --  Link up (MTU 23; BlueZ reports 23 until the first write)
12:38:04,277  --  Enabling notifications
12:38:04,468  TX  02                                               PING
12:38:04,544  RX  04                                               ACK
12:38:04,544  TX  03                                               HELLO
12:38:04,657  RX  04                                               ACK
12:38:04,657  --  Handshake complete, session READY
12:38:04,659  --  Subscribing to 14 parameter(s)
12:38:04,661  TX  01 00 C0 00 00                                   SUBSCRIBE 00 C0 00 00  productInformation.productModelNumber
12:38:04,730  RX  04                                               ACK
12:38:04,781  TX  01 00 C1 00 00                                   SUBSCRIBE 00 C1 00 00  productInformation.productSerialNumber
12:38:04,843  RX  04                                               ACK
12:38:04,893  TX  01 00 C4 00 00                                   SUBSCRIBE 00 C4 00 00  productInformation.productType
12:38:04,956  RX  04                                               ACK
12:38:05,007  TX  01 00 C1 00 80                                   SUBSCRIBE 00 C1 00 80  deviceSpecific.ccFirmwareVersion
12:38:05,106  RX  04                                               ACK
12:38:05,156  TX  01 00 00 01 01                                   SUBSCRIBE 00 00 01 01  compartment.c0Power
12:38:05,218  RX  04                                               ACK
12:38:05,269  TX  01 00 01 01 01                                   SUBSCRIBE 00 01 01 01  compartment.c0MeasuredTemperature
12:38:05,331  RX  04                                               ACK
12:38:05,382  TX  01 00 02 01 01                                   SUBSCRIBE 00 02 01 01  compartment.c0SetTemperature
12:38:05,407  RX  02                                               PING
12:38:05,518  RX  04                                               ACK
12:38:05,519  TX  04                                               ACK
12:38:05,632  RX  00 00 C4 00 00 01                                PUBLISH 00 C4 00 00 = 01  productInformation.productType = 1
12:38:05,633  TX  01 00 08 01 01                                   SUBSCRIBE 00 08 01 01  compartment.c0DoorOpen
12:38:05,781  RX  04                                               ACK
12:38:05,781  TX  04                                               ACK
12:38:05,931  RX  00 00 C1 00 80 56 33 2E 35 31 30 2B 44 44 32 2E 32 00 PUBLISH 00 C1 00 80 = 56 33 2E 35 31 30 2B 44 44 32 2E 32 00  deviceSpecific.ccFirmwareVersion = V3.510+DD2.2
12:38:05,932  TX  01 00 80 01 01                                   SUBSCRIBE 00 80 01 01  compartment.c0TemperatureRange
12:38:06,006  RX  04                                               ACK
12:38:06,007  TX  04                                               ACK
12:38:06,081  RX  00 00 00 01 01 01                                PUBLISH 00 00 01 01 = 01  compartment.c0Power = yes
12:38:06,082  TX  01 00 00 03 01                                   SUBSCRIBE 00 00 03 01  power.coolerPower
12:38:06,231  RX  04                                               ACK
12:38:06,232  TX  04                                               ACK
12:38:06,343  RX  00 00 01 01 01 B4 00                             PUBLISH 00 01 01 01 = B4 00  compartment.c0MeasuredTemperature = 18.0 °C
12:38:06,343  TX  01 00 01 03 01                                   SUBSCRIBE 00 01 03 01  power.batteryVoltageLevel
12:38:06,418  RX  04                                               ACK
12:38:06,418  TX  04                                               ACK
12:38:06,531  RX  00 00 02 01 01 14 00                             PUBLISH 00 02 01 01 = 14 00  compartment.c0SetTemperature = 2.0 °C
12:38:06,531  TX  01 00 02 03 01                                   SUBSCRIBE 00 02 03 01  power.batteryProtectionLevel
12:38:06,681  RX  04                                               ACK
12:38:06,681  TX  04                                               ACK
12:38:06,756  RX  00 00 08 01 01 00                                PUBLISH 00 08 01 01 = 00  compartment.c0DoorOpen = no
12:38:06,757  TX  01 00 03 03 01                                   SUBSCRIBE 00 03 03 01  power.compressorPower
12:38:06,831  RX  04                                               ACK
12:38:06,832  TX  04                                               ACK
12:38:06,906  RX  00 00 80 01 01 24 FF C8 00                       PUBLISH 00 80 01 01 = 24 FF C8 00  compartment.c0TemperatureRange = -22.0 … 20.0
12:38:06,907  TX  01 00 05 03 01                                   SUBSCRIBE 00 05 03 01  power.powerSource
12:38:06,982  RX  04                                               ACK
12:38:06,983  TX  04                                               ACK
12:38:07,056  RX  00 00 00 03 01 01                                PUBLISH 00 00 03 01 = 01  power.coolerPower = yes
12:38:07,057  TX  04                                               ACK
12:38:07,131  RX  00 00 01 03 01 84 00                             PUBLISH 00 01 03 01 = 84 00  power.batteryVoltageLevel = 13.2
12:38:07,132  TX  04                                               ACK
12:38:07,206  RX  00 00 02 03 01 01                                PUBLISH 00 02 03 01 = 01  power.batteryProtectionLevel = 1
12:38:07,207  TX  04                                               ACK
12:38:07,318  RX  00 00 03 03 01 00                                PUBLISH 00 03 03 01 = 00  power.compressorPower = no
12:38:07,319  TX  04                                               ACK
12:38:07,393  RX  00 00 05 03 01 01                                PUBLISH 00 05 03 01 = 01  power.powerSource = 1
12:38:07,394  TX  04                                               ACK
12:38:07,468  RX  00 00 C0 00 00 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00 PUBLISH 00 C0 00 00 = 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00  productInformation.productModelNumber = CFX335
12:38:07,469  TX  04                                               ACK
12:38:07,543  RX  00 00 C1 00 00 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00 PUBLISH 00 C1 00 00 = 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00  productInformation.productSerialNumber = 44304345
12:38:07,544  TX  04                                               ACK
12:38:07,618  RX  00 00 C4 00 00 01                                PUBLISH 00 C4 00 00 = 01  productInformation.productType = 1
12:38:07,619  TX  04                                               ACK
12:38:07,694  RX  00 00 C1 00 80 56 33 2E 35 31 30 2B 44 44 32 2E 32 00 PUBLISH 00 C1 00 80 = 56 33 2E 35 31 30 2B 44 44 32 2E 32 00  deviceSpecific.ccFirmwareVersion = V3.510+DD2.2
12:38:07,695  TX  04                                               ACK
12:38:07,768  RX  00 00 00 01 01 01                                PUBLISH 00 00 01 01 = 01  compartment.c0Power = yes
12:38:07,769  TX  04                                               ACK
12:38:07,843  RX  00 00 01 01 01 B4 00                             PUBLISH 00 01 01 01 = B4 00  compartment.c0MeasuredTemperature = 18.0 °C
12:38:07,844  TX  04                                               ACK
12:38:07,918  RX  00 00 02 01 01 14 00                             PUBLISH 00 02 01 01 = 14 00  compartment.c0SetTemperature = 2.0 °C
12:38:07,919  TX  04                                               ACK
12:38:07,993  RX  00 00 08 01 01 00                                PUBLISH 00 08 01 01 = 00  compartment.c0DoorOpen = no
12:38:07,994  TX  04                                               ACK
12:38:08,068  RX  00 00 80 01 01 24 FF C8 00                       PUBLISH 00 80 01 01 = 24 FF C8 00  compartment.c0TemperatureRange = -22.0 … 20.0
12:38:08,069  TX  04                                               ACK
12:38:08,143  RX  00 00 00 03 01 01                                PUBLISH 00 00 03 01 = 01  power.coolerPower = yes
12:38:08,144  TX  04                                               ACK
12:38:08,218  RX  00 00 01 03 01 83 00                             PUBLISH 00 01 03 01 = 83 00  power.batteryVoltageLevel = 13.1
12:38:08,219  TX  04                                               ACK
12:38:08,293  RX  00 00 02 03 01 01                                PUBLISH 00 02 03 01 = 01  power.batteryProtectionLevel = 1
12:38:08,294  TX  04                                               ACK
12:38:08,368  RX  00 00 03 03 01 00                                PUBLISH 00 03 03 01 = 00  power.compressorPower = no
12:38:08,369  TX  04                                               ACK
12:38:08,481  RX  00 00 05 03 01 01                                PUBLISH 00 05 03 01 = 01  power.powerSource = 1
12:38:08,482  TX  04                                               ACK
12:38:08,557  RX  00 00 03 03 01 01                                PUBLISH 00 03 03 01 = 01  power.compressorPower = yes
12:38:08,558  TX  04                                               ACK
12:38:08,631  RX  00 00 01 03 01 72 00                             PUBLISH 00 01 03 01 = 72 00  power.batteryVoltageLevel = 11.4
12:38:08,632  TX  04                                               ACK
12:38:08,706  RX  00 00 03 03 01 00                                PUBLISH 00 03 03 01 = 00  power.compressorPower = no
12:38:08,707  TX  04                                               ACK
12:38:08,781  RX  00 00 01 03 01 83 00                             PUBLISH 00 01 03 01 = 83 00  power.batteryVoltageLevel = 13.1
12:38:08,782  TX  04                                               ACK
12:38:08,931  RX  00 00 C0 00 00 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00 PUBLISH 00 C0 00 00 = 43 46 58 33 33 35 00 35 20 44 5A 00 00 00 00  productInformation.productModelNumber = CFX335
12:38:08,932  TX  04                                               ACK
12:38:09,007  RX  00 00 C1 00 00 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00 PUBLISH 00 C1 00 00 = 34 34 33 30 34 33 34 35 00 00 00 00 00 00 00  productInformation.productSerialNumber = 44304345
12:38:09,007  TX  04                                               ACK
12:38:09,081  RX  00 00 C4 00 00 01                                PUBLISH 00 C4 00 00 = 01  productInformation.productType = 1
12:38:09,082  TX  04                                               ACK
12:38:09,156  RX  00 00 C1 00 80 56 33 2E 35 31 30 2B 44 44 32 2E 32 00 PUBLISH 00 C1 00 80 = 56 33 2E 35 31 30 2B 44 44 32 2E 32 00  deviceSpecific.ccFirmwareVersion = V3.510+DD2.2
12:38:09,157  TX  04                                               ACK
12:38:09,231  RX  00 00 00 01 01 01                                PUBLISH 00 00 01 01 = 01  compartment.c0Power = yes
12:38:09,232  TX  04                                               ACK
12:38:09,306  RX  00 00 01 01 01 B4 00                             PUBLISH 00 01 01 01 = B4 00  compartment.c0MeasuredTemperature = 18.0 °C
12:38:09,307  TX  04                                               ACK
12:38:09,381  RX  00 00 02 01 01 14 00                             PUBLISH 00 02 01 01 = 14 00  compartment.c0SetTemperature = 2.0 °C
12:38:09,382  TX  04                                               ACK
12:38:09,458  RX  00 00 08 01 01 00                                PUBLISH 00 08 01 01 = 00  compartment.c0DoorOpen = no
12:38:09,458  TX  04                                               ACK
12:38:09,568  RX  00 00 80 01 01 24 FF C8 00                       PUBLISH 00 80 01 01 = 24 FF C8 00  compartment.c0TemperatureRange = -22.0 … 20.0
12:38:09,569  TX  04                                               ACK
12:38:09,643  RX  00 00 00 03 01 01                                PUBLISH 00 00 03 01 = 01  power.coolerPower = yes
12:38:09,644  TX  04                                               ACK
12:38:09,718  RX  00 00 01 03 01 83 00                             PUBLISH 00 01 03 01 = 83 00  power.batteryVoltageLevel = 13.1
12:38:09,719  TX  04                                               ACK
12:38:09,793  RX  00 00 02 03 01 01                                PUBLISH 00 02 03 01 = 01  power.batteryProtectionLevel = 1
12:38:09,794  TX  04                                               ACK
12:38:09,868  RX  00 00 03 03 01 00                                PUBLISH 00 03 03 01 = 00  power.compressorPower = no
